Keyword,Competition,Search Volume Estimate,Banks,Rank_Position,Page_Tier,Keyword_Rank,Category,CTR Estimate,Volume Tier,Row Number
business loan nigeria,Medium,550,Access Bank,18,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Low Volume (500-999),18
business loan nigeria,Medium,550,Fidelity Bank,8,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),19
business loan nigeria,Medium,550,First Bank,15,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Low Volume (500-999),20
business loan nigeria,Medium,550,Sterling Bank,12,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Low Volume (500-999),21
business loan nigeria,Medium,550,UBA,11,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Low Volume (500-999),22
business loan nigeria,Medium,550,Union Bank,22,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Loans & Credit,0.003,Low Volume (500-999),23
credit card nigeria,Low,550,Access Bank,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Low Volume (500-999),26
credit card nigeria,Low,550,Fidelity Bank,15,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Low Volume (500-999),27
credit card nigeria,Low,550,First Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.3,Low Volume (500-999),28
credit card nigeria,Low,550,GTBank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Low Volume (500-999),29
credit card nigeria,Low,550,UBA,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Low Volume (500-999),30
credit card nigeria,Low,550,Union Bank,11,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Low Volume (500-999),31
debit card nigeria,Low,55,Access Bank,12,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),39
debit card nigeria,Low,55,Fidelity Bank,17,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),41
debit card nigeria,Low,55,First Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.3,Very Low (<500),42
debit card nigeria,Low,55,GTBank,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Very Low (<500),43
debit card nigeria,Low,55,UBA,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.15,Very Low (<500),44
debit card nigeria,Low,55,Wema Bank,23,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Cards,0.003,Very Low (<500),45
debit card nigeria,Low,55,Wema Bank (ALAT),13,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),40
digital bank nigeria,Low,55,Access Bank,19,Page 2,Page 2 - Position 11-20 (Weak Visibility),Other,0.01,Very Low (<500),46
digital bank nigeria,Low,55,Fidelity Bank,7,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Other,0.05,Very Low (<500),47
digital bank nigeria,Low,55,First Bank,8,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Other,0.05,Very Low (<500),48
digital bank nigeria,Low,55,GTBank,20,Page 2,Page 2 - Position 11-20 (Weak Visibility),Other,0.01,Very Low (<500),49
digital bank nigeria,Low,55,UBA,16,Page 2,Page 2 - Position 11-20 (Weak Visibility),Other,0.01,Very Low (<500),50
dollar card nigeria,Medium,55,Access Bank,23,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Cards,0.003,Very Low (<500),51
dollar card nigeria,Medium,55,GTBank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Very Low (<500),53
dollar card nigeria,Medium,55,UBA,16,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),54
dollar card nigeria,Medium,55,Wema Bank (ALAT),3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.1,Very Low (<500),52
domiciliary account nigeria,Low,550,Access Bank,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,Low Volume (500-999),55
domiciliary account nigeria,Low,550,First Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Accounts & Deposits,0.3,Low Volume (500-999),57
domiciliary account nigeria,Low,550,GTBank,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Accounts & Deposits,0.15,Low Volume (500-999),58
domiciliary account nigeria,Low,550,UBA,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Accounts & Deposits,0.1,Low Volume (500-999),59
domiciliary account nigeria,Low,550,Union Bank,7,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,Low Volume (500-999),60
domiciliary account nigeria,Low,550,Wema Bank,14,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,Low Volume (500-999),61
domiciliary account nigeria,Low,550,Wema Bank (ALAT),16,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,Low Volume (500-999),56
first bank transfer code,Low,55000,First Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Transfers & Payments,0.3,High Volume (3000+),62
first bank ussd code,Low,55000,First Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.3,High Volume (3000+),63
fixed deposit rates nigeria,Low,550,Access Bank,15,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,Low Volume (500-999),64
fixed deposit rates nigeria,Low,550,First Bank,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Accounts & Deposits,0.15,Low Volume (500-999),65
fixed deposit rates nigeria,Low,550,GTBank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,Low Volume (500-999),66
fixed deposit rates nigeria,Low,550,UBA,14,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,Low Volume (500-999),67
fixed deposit rates nigeria,Low,550,Union Bank,20,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,Low Volume (500-999),68
gtbank mobile app,Low,5500,GTBank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.3,High Volume (3000+),69
gtbank transfer code,Low,5500,GTBank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Transfers & Payments,0.3,High Volume (3000+),70
how to get loan in nigeria,Medium,550,Access Bank,13,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Low Volume (500-999),71
how to get loan in nigeria,Medium,550,First Bank,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Loans & Credit,0.15,Low Volume (500-999),73
how to get loan in nigeria,Medium,550,GTBank,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),74
how to get loan in nigeria,Medium,550,Stanbic IBTC,29,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Loans & Credit,0.003,Low Volume (500-999),75
how to get loan in nigeria,Medium,550,UBA,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),76
how to get loan in nigeria,Medium,550,Wema Bank (ALAT),18,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Low Volume (500-999),72
internet banking nigeria,Low,55,Access Bank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),77
internet banking nigeria,Low,55,Fidelity Bank,15,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),78
internet banking nigeria,Low,55,First Bank,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.1,Very Low (<500),79
internet banking nigeria,Low,55,GTBank,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.15,Very Low (<500),80
internet banking nigeria,Low,55,Stanbic IBTC,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),81
internet banking nigeria,Low,55,Sterling Bank,19,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),82
internet banking nigeria,Low,55,UBA,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.3,Very Low (<500),83
internet banking nigeria,Low,55,Union Bank,13,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),84
internet banking nigeria,Low,55,Zenith Bank,7,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),85
mobile banking nigeria,Low,55,Access Bank,7,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),86
mobile banking nigeria,Low,55,Fidelity Bank,14,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),87
mobile banking nigeria,Low,55,First Bank,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.1,Very Low (<500),88
mobile banking nigeria,Low,55,GTBank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.3,Very Low (<500),89
mobile banking nigeria,Low,55,Stanbic IBTC,17,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),90
mobile banking nigeria,Low,55,Sterling Bank,13,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),91
mobile banking nigeria,Low,55,UBA,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),92
mobile banking nigeria,Low,55,Union Bank,18,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),93
mobile banking nigeria,Low,55,Zenith Bank,19,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),94
naira card,Low,55,Access Bank,17,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),95
naira card,Low,55,First Bank,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.15,Very Low (<500),97
naira card,Low,55,GTBank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.3,Very Low (<500),98
naira card,Low,55,UBA,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Very Low (<500),99
naira card,Low,55,Wema Bank (ALAT),7,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Very Low (<500),96
online banking nigeria,Low,55,Access Bank,9,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),100
online banking nigeria,Low,55,Fidelity Bank,11,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),101
online banking nigeria,Low,55,First Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.3,Very Low (<500),102
online banking nigeria,Low,55,GTBank,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.1,Very Low (<500),103
online banking nigeria,Low,55,Stanbic IBTC,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),104
online banking nigeria,Low,55,Sterling Bank,17,Page 2,Page 2 - Position 11-20 (Weak Visibility),Digital Banking,0.01,Very Low (<500),105
online banking nigeria,Low,55,UBA,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.15,Very Low (<500),106
online banking nigeria,Low,55,Union Bank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),107
online banking nigeria,Low,55,Zenith Bank,8,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,Very Low (<500),108
payday loan nigeria,Low,550,Access Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Loans & Credit,0.3,Low Volume (500-999),109
payday loan nigeria,Low,550,Fidelity Bank,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Loans & Credit,0.15,Low Volume (500-999),110
payday loan nigeria,Low,550,First Bank,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),111
payday loan nigeria,Low,550,GTBank,15,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Low Volume (500-999),112
payday loan nigeria,Low,550,Stanbic IBTC,24,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Loans & Credit,0.003,Low Volume (500-999),113
payday loan nigeria,Low,550,UBA,7,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),114
payday loan nigeria,Low,550,Wema Bank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),115
personal loan nigeria,Low,550,Access Bank,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),116
personal loan nigeria,Low,550,Fidelity Bank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),117
personal loan nigeria,Low,550,First Bank,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Loans & Credit,0.1,Low Volume (500-999),118
personal loan nigeria,Low,550,GTBank,21,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Loans & Credit,0.003,Low Volume (500-999),119
personal loan nigeria,Low,550,Stanbic IBTC,30,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Loans & Credit,0.003,Low Volume (500-999),120
personal loan nigeria,Low,550,UBA,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),121
personal loan nigeria,Low,550,Union Bank,24,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Loans & Credit,0.003,Low Volume (500-999),122
personal loan nigeria,Low,550,Wema Bank,8,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Low Volume (500-999),123
pos machine nigeria,Low,55,First Bank,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Other,0.05,Very Low (<500),124
pos machine nigeria,Low,55,UBA,27,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Other,0.003,Very Low (<500),125
pos machine nigeria,Low,55,Wema Bank,14,Page 2,Page 2 - Position 11-20 (Weak Visibility),Other,0.01,Very Low (<500),126
prepaid card nigeria,Low,55,Access Bank,11,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),127
prepaid card nigeria,Low,55,First Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.3,Very Low (<500),128
prepaid card nigeria,Low,55,GTBank,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.1,Very Low (<500),129
prepaid card nigeria,Low,55,UBA,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Cards,0.15,Very Low (<500),130
prepaid card nigeria,Low,55,Union Bank,20,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),131
prepaid card nigeria,Low,55,Wema Bank,17,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),132
quick cash loan nigeria,Medium,55,Access Bank,16,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Very Low (<500),133
quick cash loan nigeria,Medium,55,First Bank,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Very Low (<500),134
quick cash loan nigeria,Medium,55,GTBank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Very Low (<500),135
quick cash loan nigeria,Medium,55,Stanbic IBTC,10,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Very Low (<500),136
quick cash loan nigeria,Medium,55,UBA,14,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Very Low (<500),137
savings account nigeria,Low,55,Access Bank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,Very Low (<500),138
savings account nigeria,Low,55,Fidelity Bank,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Accounts & Deposits,0.1,Very Low (<500),140
savings account nigeria,Low,55,First Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Accounts & Deposits,0.3,Very Low (<500),141
savings account nigeria,Low,55,Stanbic IBTC,26,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Accounts & Deposits,0.003,Very Low (<500),142
savings account nigeria,Low,55,Sterling Bank,14,Page 2,Page 2 - Position 11-20 (Weak Visibility),Accounts & Deposits,0.01,Very Low (<500),143
savings account nigeria,Low,55,UBA,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Accounts & Deposits,0.15,Very Low (<500),144
savings account nigeria,Low,55,Wema Bank (ALAT),6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Accounts & Deposits,0.05,Very Low (<500),139
savings account nigeria,Low,55,Zenith Bank,27,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Accounts & Deposits,0.003,Very Low (<500),145
send money online nigeria,Low,55,First Bank,26,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Transfers & Payments,0.003,Very Low (<500),146
small loan in nigeria,Low,55,Access Bank,15,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Very Low (<500),147
small loan in nigeria,Low,55,Fidelity Bank,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Very Low (<500),149
small loan in nigeria,Low,55,First Bank,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Very Low (<500),150
small loan in nigeria,Low,55,GTBank,7,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Loans & Credit,0.05,Very Low (<500),151
small loan in nigeria,Low,55,UBA,3,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Loans & Credit,0.1,Very Low (<500),152
small loan in nigeria,Low,55,Wema Bank,12,Page 2,Page 2 - Position 11-20 (Weak Visibility),Loans & Credit,0.01,Very Low (<500),153
small loan in nigeria,Low,55,Wema Bank (ALAT),26,Page 3,Page 3 - Position 21-30 (Minimal Visibility),Loans & Credit,0.003,Very Low (<500),148
uba mobile banking,Low,5500,UBA,2,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Digital Banking,0.15,High Volume (3000+),159
uba transfer code,Low,55000,UBA,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Transfers & Payments,0.3,High Volume (3000+),160
virtual card nigeria,Medium,55,Access Bank,8,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Very Low (<500),164
virtual card nigeria,Medium,55,First Bank,5,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Very Low (<500),166
virtual card nigeria,Medium,55,GTBank,6,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Cards,0.05,Very Low (<500),167
virtual card nigeria,Medium,55,Wema Bank (ALAT),14,Page 2,Page 2 - Position 11-20 (Weak Visibility),Cards,0.01,Very Low (<500),165
zenith bank mobile app,Low,5500,Zenith Bank,4,Page 1 - Position 4-10,Page 1 - Position 4-10 (Good Visibility),Digital Banking,0.05,High Volume (3000+),168
zenith bank transfer code,Low,5500,Zenith Bank,1,Page 1 - Top 3,Page 1 - Top 3 (Prime Visibility),Transfers & Payments,0.3,High Volume (3000+),169
